Region	Country	GDP	Date	VariableOne	VariableTwo
Europe	Serbia	6814.8	3/28/2024	f	0
South America	Colombia	6761.2	3/29/2024	t	0
Africa	Libya	6638.6	3/30/2024	f	0
Africa	South Africa	6560	3/31/2024	t	0
South America	Suriname	6506	4/1/2024	f	0
South America	Ecuador	6301.1	4/2/2024	t	0
Europe	Belarus	6020	4/3/2024	f	0
Europe	FYR Macedonia	5953.3	4/4/2024	t	0
South America	Paraguay	5933.8	4/5/2024	f	0
Africa	Namibia	5923.5	4/6/2024	t	0
Oceania	Fiji	5876.6	4/7/2024	f	0
Asia	Iraq	5793.5	4/8/2024	t	0
Europe	Bosnia and Herzegovina	5703.9	4/9/2024	f	0
North America	Jamaica	5393.4	4/10/2024	t	0
Europe	Albania	5260.9	4/11/2024	f	0
Asia	Islamic Republic of Iran	5222	4/12/2024	t	0
North America	Belize	4830	4/13/2024	f	0
Oceania	Tonga	4650.3	4/14/2024	t	0
South America	Guyana	4648.7	4/15/2024	f	0
Europe	Azerbaijan	4586.8	4/16/2024	t	0
North America	Guatemala	4582.7	4/17/2024	f	0
Europe	Georgia	4505.8	4/18/2024	t	0
Africa	Algeria	4449.8	4/19/2024	f	0
Oceania	Samoa	4402.8	4/20/2024	t	0
Europe	Kosovo	4324	4/21/2024	f	0
Asia	Sri Lanka	4265.3	4/22/2024	t	0
Asia	Jordan	4227.5	4/23/2024	f	0
Europe	Armenia	4190.2	4/24/2024	t	0
Oceania	Marshall Islands	4113.5	4/25/2024	f	0
Asia	Mongolia	4097.8	4/26/2024	t	0
Oceania	Tuvalu	4096.3	4/27/2024	f	0
Africa	Eswatini	4092.9	4/28/2024	t	0
North America	El Salvador	4041	4/29/2024	f	0
Africa	Angola	3924.4	4/30/2024	t	0
Asia	Indonesia	3789	5/1/2024	f	0
South America	Bolivia	3719.3	5/2/2024	t	0
Africa	Cabo Verde	3622.2	5/3/2024	f	0
Africa	Tunisia	3573.4	5/4/2024	t	0
Africa	Morocco	3355.4	5/5/2024	f	0
Oceania	Vanuatu	3327.8	5/6/2024	t	0
South America	Venezuela	3300.4	5/7/2024	f	0
Oceania	Micronesia	3277.3	5/8/2024	t	0
Europe	Moldova	3226.7	5/9/2024	f	0
Asia	Bhutan	3211.3	5/10/2024	t	0
Asia	Philippines	3099.3	5/11/2024	f	0
Europe	Ukraine	2964.2	5/12/2024	t	0
North America	Honduras	2829	5/13/2024	f	0
Asia	Lao P.D.R.	2690.2	5/14/2024	t	0
Africa	Egypt	2572.4	5/15/2024	f	0
Africa	Republic of Congo	2571.7	5/16/2024	t	0
Asia	Vietnam	2552.8	5/17/2024	f	0
Asia	Timor-Leste	2485.9	5/18/2024	t	0
Oceania	Papua New Guinea	2464.7	5/19/2024	f	0
Oceania	Solomon Islands	2270.8	5/20/2024	t	0
North America	Nicaragua	2126.6	5/21/2024	f	0
Africa	Djibouti	2084.9	5/22/2024	t	0
Africa	São Tomé and Príncipe	2068.8	5/23/2024	f	0
Africa	Nigeria	2050.2	5/24/2024	t	0
Asia	India	2016.2	5/25/2024	f	0
Africa	Kenya	1865.2	5/26/2024	t	0
Africa	Côte d'Ivoire	1791.4	5/27/2024	f	0
Africa	Ghana	1786.7	5/28/2024	t	0
Oceania	Kiribati	1749.7	5/29/2024	f	0
Asia	Bangladesh	1736.3	5/30/2024	t	0
Africa	Cameroon	1545	5/31/2024	f	0
Asia	Pakistan	1527.2	6/1/2024	t	0
Africa	Senegal	1485.4	6/2/2024	f	0
Asia	Cambodia	1485.3	6/3/2024	t	0
Africa	Lesotho	1465.6	6/4/2024	f	0
Africa	Zambia	1450.4	6/5/2024	t	0
Asia	Myanmar	1354.2	6/6/2024	f	0
Asia	Uzbekistan	1326	6/7/2024	t	0
Africa	Mauritania	1310	6/8/2024	f	0
Africa	Zimbabwe	1268.9	6/9/2024	t	0
Asia	Kyrgyz Republic	1254.1	6/10/2024	f	0
Africa	Eritrea	1111.6	6/11/2024	t	0
Africa	Tanzania	1090.1	6/12/2024	f	0
Asia	Nepal	970.7	6/13/2024	t	0
Asia	Yemen	925.6	6/14/2024	f	0
Africa	Benin	923.3	6/15/2024	t	0
Africa	Mali	891.9	6/16/2024	f	0
Africa	Ethiopia	890.6	6/17/2024	t	0
Africa	Chad	889.6	6/18/2024	f	0
Africa	Comoros	877.2	6/19/2024	t	0
North America	Haiti	874	6/20/2024	f	0
Africa	Guinea	865.3	6/21/2024	t	0
Africa	Guinea-Bissau	851.5	6/22/2024	f	0
Asia	Tajikistan	807.1	6/23/2024	t	0
Africa	Rwanda	800.2	6/24/2024	f	0
Africa	Sudan	791.9	6/25/2024	t	0
Africa	The Gambia	739.9	6/26/2024	f	0
Africa	Burkina Faso	734	6/27/2024	t	0
Africa	Uganda	717.5	6/28/2024	f	0
Africa	Togo	668.4	6/29/2024	t	0
Africa	Liberia	663	6/30/2024	f	0
Asia	Afghanistan	565.4	7/1/2024	t	0
Africa	Sierra Leone	495.9	7/2/2024	f	0
Africa	Niger	489.1	7/3/2024	t	0
Africa	Mozambique	481.2	7/4/2024	f	0
Africa	Democratic Republic of the Congo	478.3	7/5/2024	t	0
Africa	Madagascar	474.8	7/6/2024	f	0
Africa	Central African Republic	454.1	7/7/2024	t	0
Africa	Malawi	349.1	7/8/2024	f	0
Africa	Burundi	307	7/9/2024	t	0
Africa	South Sudan	306.7	7/10/2024	f	0
