Date,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
6/21/2023,8,61,No,7,2,53
5/13/2023,4,44,Yes,7,6,27
9/29/2023,2,89,Yes,6,1,65
11/4/2023,6,81,No,9,9,75
9/24/2023,6,62,Yes,9,0,52
8/19/2023,4,93,No,8,3,78
4/17/2023,6,99,No,4,7,91
7/22/2023,2,54,Yes,9,5,33
10/29/2023,2,70,Yes,5,8,47
5/24/2023,4,98,No,6,0,78
12/9/2023,8,48,No,6,0,38
11/27/2023,7,82,Yes,8,4,70
9/19/2023,9,97,Yes,8,5,98
2/12/2023,8,92,Yes,4,7,87
8/9/2023,5,64,Yes,6,2,49
3/14/2023,2,64,Yes,6,5,41
1/24/2023,5,88,No,5,2,71
3/7/2023,8,60,No,4,7,54
8/24/2023,9,48,No,4,3,42
1/9/2023,9,94,No,9,1,91
1/6/2023,1,87,Yes,8,8,61
8/6/2023,9,77,No,9,9,74
12/7/2023,7,61,Yes,4,7,54
7/9/2023,9,82,Yes,5,5,81
10/15/2023,8,62,Yes,4,2,52
7/29/2023,1,88,Yes,9,1,65
12/25/2023,8,43,Yes,7,3,36
3/18/2023,8,68,No,7,3,61
11/5/2023,3,54,Yes,5,0,35
11/3/2023,1,40,Yes,8,8,15
2/15/2023,8,93,Yes,6,9,88
5/5/2023,3,69,No,4,7,45
3/2/2023,3,68,Yes,9,6,49
8/18/2023,1,59,Yes,8,5,33
10/8/2023,5,72,Yes,9,2,60
8/23/2023,7,80,No,8,3,71
2/20/2023,9,83,Yes,4,1,81
6/20/2023,7,75,No,6,6,67
12/18/2023,9,99,No,4,1,95
4/29/2023,8,61,Yes,6,9,58
6/11/2023,2,52,No,9,0,29
10/19/2023,1,46,No,5,5,21
8/14/2023,7,47,Yes,6,3,38
12/22/2023,7,67,Yes,8,7,60
8/3/2023,8,84,Yes,5,0,76
5/6/2023,5,82,Yes,9,8,69
6/5/2023,3,48,No,7,5,30
5/1/2023,8,64,No,5,1,57
12/7/2023,6,95,Yes,6,7,81
9/19/2023,3,55,Yes,5,4,36
1/28/2023,1,49,Yes,9,4,25
9/30/2023,3,50,No,5,4,27
5/20/2023,5,70,Yes,9,6,61
2/1/2023,3,51,No,7,6,34
6/3/2023,1,99,No,6,9,76
2/20/2023,5,70,No,8,6,57
8/1/2023,7,53,No,5,9,45
11/16/2023,7,90,Yes,4,1,76
4/14/2023,9,83,Yes,8,7,83
9/5/2023,3,71,Yes,5,0,50
6/6/2023,7,89,No,8,1,81
3/28/2023,1,92,No,4,6,66
11/14/2023,4,56,Yes,8,3,38
7/12/2023,4,74,No,8,9,56
6/30/2023,5,40,No,4,9,25
10/7/2023,7,68,No,4,8,56
6/15/2023,7,90,Yes,4,8,82
3/14/2023,4,43,Yes,7,2,23
12/17/2023,7,62,Yes,9,2,56
10/17/2023,3,67,No,9,8,46
11/12/2023,6,55,Yes,4,9,43
2/12/2023,2,51,Yes,9,7,30
7/9/2023,9,92,Yes,8,0,92
1/19/2023,5,60,No,4,5,45
8/1/2023,6,84,No,5,6,70
3/20/2023,4,56,No,4,7,36
7/4/2023,7,79,No,4,1,71
1/25/2023,9,52,No,9,0,49
7/19/2023,7,91,Yes,6,3,82
5/31/2023,1,97,Yes,8,0,71
7/29/2023,1,71,No,9,1,43
2/11/2023,9,76,No,8,2,77
11/10/2023,9,89,Yes,5,3,86
3/26/2023,4,54,No,7,5,34
1/2/2023,9,51,No,6,7,49
6/11/2023,3,88,No,5,8,69
2/2/2023,7,96,No,5,3,84
6/22/2023,6,54,No,8,0,41
12/31/2023,8,73,Yes,6,4,68
6/8/2023,9,45,Yes,8,4,44
8/30/2023,5,56,No,7,8,41
8/29/2023,1,87,No,8,5,58
3/7/2023,3,88,Yes,4,4,68
8/9/2023,8,96,No,8,9,94
11/26/2023,6,59,Yes,4,9,47
12/22/2023,8,48,No,5,4,40
9/24/2023,9,98,Yes,7,7,100
10/7/2023,4,44,Yes,9,0,23
8/29/2023,1,62,No,4,4,36
12/19/2023,1,72,No,7,0,47
6/11/2023,4,77,Yes,8,6,60
10/8/2023,7,95,No,9,6,83
8/8/2023,2,53,Yes,8,9,33
3/18/2023,3,56,No,5,7,36
12/11/2023,1,96,No,8,6,74
5/1/2023,5,58,No,4,8,42
8/26/2023,1,72,Yes,5,7,47
4/12/2023,8,40,Yes,7,7,31
8/11/2023,1,52,No,5,2,26
3/4/2023,1,85,Yes,7,9,58
12/20/2023,2,66,No,6,3,42
10/14/2023,2,45,Yes,4,3,18
4/13/2023,6,98,No,4,0,85
11/22/2023,7,45,Yes,7,5,36
2/27/2023,5,72,Yes,8,1,58
1/5/2023,1,69,Yes,9,8,45
12/18/2023,1,85,Yes,8,0,60
10/21/2023,3,74,Yes,6,0,56
11/3/2023,2,62,Yes,7,9,42
6/28/2023,5,49,No,6,5,33
4/14/2023,6,90,No,7,0,77
1/24/2023,7,58,Yes,6,2,51
9/25/2023,4,90,No,7,9,72
9/24/2023,7,67,Yes,4,1,57
1/28/2023,8,62,No,6,8,53
8/11/2023,1,43,No,6,4,16
7/16/2023,6,59,No,7,5,45
8/22/2023,8,58,No,5,1,49
11/26/2023,5,81,Yes,5,7,67
1/15/2023,4,66,No,4,5,49
1/21/2023,2,96,No,8,7,73
6/16/2023,6,73,No,8,7,65
8/7/2023,6,43,Yes,4,0,27
12/9/2023,1,95,No,8,6,72
10/16/2023,9,77,Yes,9,1,74
4/19/2023,6,46,Yes,9,7,38
4/29/2023,3,87,No,9,1,67
12/31/2023,4,46,Yes,9,3,28
3/7/2023,4,89,No,7,1,73
8/20/2023,3,91,No,5,6,72
4/18/2023,3,65,No,4,4,42
1/16/2023,3,65,No,7,8,47
2/21/2023,4,93,No,9,4,77
1/11/2023,7,58,No,4,7,49
11/13/2023,4,48,No,5,1,30
10/20/2023,9,59,Yes,8,2,54
12/8/2023,1,81,Yes,7,5,56
1/18/2023,8,84,No,5,6,75
10/18/2023,7,89,No,4,9,78
1/4/2023,2,55,Yes,6,7,32
6/5/2023,8,93,No,7,2,89
10/29/2023,1,56,Yes,4,6,29
5/2/2023,9,61,Yes,4,7,57
7/10/2023,9,52,No,5,9,48
12/18/2023,2,51,No,4,5,27
11/27/2023,7,49,Yes,7,3,38
3/30/2023,3,40,Yes,9,5,18
11/23/2023,7,71,No,7,8,66
4/20/2023,9,69,No,4,2,65
9/12/2023,4,47,Yes,5,1,27
10/1/2023,1,60,Yes,7,4,33
6/27/2023,2,61,Yes,6,6,37
3/24/2023,1,57,No,9,2,29
6/30/2023,5,41,No,8,4,26
10/27/2023,5,87,No,5,3,72
8/1/2023,7,83,Yes,5,6,77
11/21/2023,9,48,Yes,8,1,45
9/3/2023,9,42,No,8,6,41
10/6/2023,3,93,Yes,7,1,73
4/25/2023,3,65,Yes,4,2,43
6/18/2023,3,60,Yes,4,4,39
1/20/2023,4,69,Yes,6,6,54
6/22/2023,8,67,Yes,9,5,62
12/14/2023,6,75,No,4,6,63
2/26/2023,8,65,No,6,5,59
4/12/2023,1,73,No,6,0,46
9/18/2023,8,47,No,5,4,42
10/12/2023,4,49,No,5,0,30
1/9/2023,1,87,Yes,9,6,63
2/7/2023,8,94,Yes,7,3,89
3/12/2023,4,82,Yes,8,4,62
9/15/2023,6,89,No,8,0,77
9/11/2023,8,93,Yes,9,7,88
9/22/2023,4,53,Yes,6,3,35
9/19/2023,3,79,Yes,9,2,60
6/24/2023,9,94,No,8,0,92
9/23/2023,3,54,Yes,6,3,38
8/18/2023,9,56,Yes,8,2,56
1/12/2023,2,92,No,7,7,70
6/1/2023,2,57,No,5,8,35
12/28/2023,2,71,Yes,5,4,47
12/20/2023,6,77,No,6,8,66
1/28/2023,3,62,Yes,9,0,43
11/4/2023,9,85,No,8,6,81
4/3/2023,4,62,Yes,4,6,43
8/22/2023,1,74,Yes,7,5,46
9/1/2023,4,78,No,8,3,61
6/25/2023,1,54,No,4,8,27
3/25/2023,5,92,No,7,2,77
1/14/2023,4,63,No,7,0,43
12/22/2023,8,67,Yes,5,1,60
11/25/2023,8,55,No,6,2,48
1/26/2023,7,55,Yes,8,1,47
9/18/2023,3,79,Yes,7,5,60
9/18/2023,1,78,Yes,8,6,53
9/14/2023,1,45,No,7,4,19
11/27/2023,3,41,Yes,9,4,23
10/7/2023,6,93,Yes,5,6,81
11/5/2023,7,52,No,6,5,41
11/25/2023,6,83,Yes,4,7,71
8/31/2023,6,86,Yes,4,8,75
12/16/2023,6,98,Yes,9,1,89
8/7/2023,3,48,No,5,1,28
6/12/2023,6,73,Yes,7,0,60
5/2/2023,8,56,Yes,5,6,54
9/15/2023,2,66,Yes,6,3,41
6/2/2023,5,68,No,4,8,52
1/1/2023,1,76,No,8,5,53
1/9/2023,1,82,No,4,6,52
1/26/2023,5,61,Yes,6,6,47
9/20/2023,3,90,Yes,7,7,71
11/9/2023,4,63,Yes,5,3,42
4/1/2023,3,46,Yes,4,2,21
1/6/2023,1,73,Yes,4,2,48
7/23/2023,1,87,No,8,9,64
5/25/2023,5,51,Yes,5,7,38
4/30/2023,6,62,Yes,8,2,49
5/30/2023,3,54,No,8,7,35
4/1/2023,9,72,No,7,1,73
4/13/2023,5,96,Yes,4,4,81
8/17/2023,8,52,No,9,4,47
2/3/2023,1,62,No,5,6,36
9/11/2023,5,77,No,7,4,63
1/31/2023,3,71,Yes,9,8,52
3/28/2023,1,84,No,7,2,58
4/1/2023,4,89,Yes,7,8,77
12/18/2023,5,74,No,6,0,58
4/26/2023,7,40,Yes,6,2,33
3/5/2023,1,86,Yes,7,3,67
6/2/2023,3,97,Yes,6,5,76
3/17/2023,2,84,No,5,9,62
9/10/2023,9,44,No,4,7,37
7/11/2023,6,96,No,9,6,86
10/9/2023,3,52,Yes,5,7,37
1/23/2023,8,93,No,4,5,88
11/15/2023,8,44,No,6,5,38
1/28/2023,2,99,Yes,9,5,76
5/18/2023,6,71,No,5,2,57
8/29/2023,7,90,Yes,8,9,82
9/26/2023,2,60,No,7,3,35
1/12/2023,2,63,Yes,4,5,41
1/21/2023,1,99,Yes,4,6,75
6/29/2023,8,57,No,8,2,51
12/3/2023,1,60,Yes,8,3,34
4/12/2023,9,93,No,7,5,92
5/26/2023,6,49,No,6,0,39
2/2/2023,7,63,No,5,6,56
8/1/2023,7,79,No,5,0,69
4/17/2023,3,86,Yes,5,9,69
9/7/2023,2,60,Yes,6,8,40
8/17/2023,9,64,Yes,7,9,63
6/7/2023,8,91,No,5,8,86
4/9/2023,7,99,No,4,8,89
7/18/2023,9,96,Yes,4,3,94
9/8/2023,4,98,Yes,4,1,79
1/31/2023,4,62,No,8,6,44
1/24/2023,1,61,No,8,3,33
5/30/2023,8,43,No,6,4,36
5/20/2023,3,73,Yes,5,0,50
1/25/2023,7,95,No,8,9,94
8/5/2023,2,45,Yes,4,5,22
12/19/2023,2,67,No,8,6,44
1/18/2023,7,70,Yes,4,2,60
6/25/2023,6,74,No,5,9,64
8/9/2023,3,78,Yes,6,1,58
10/4/2023,9,81,Yes,7,9,78
11/2/2023,6,62,Yes,7,6,51
10/28/2023,6,45,No,4,0,30
10/17/2023,1,55,Yes,8,1,29
5/30/2023,4,41,Yes,8,2,22
2/18/2023,6,63,No,4,3,51
12/31/2023,6,56,Yes,5,4,45
3/24/2023,5,84,Yes,4,3,70
2/12/2023,1,40,No,5,9,10
1/6/2023,8,45,Yes,6,2,38
6/20/2023,5,44,No,6,0,30
5/10/2023,5,96,Yes,4,6,82
10/30/2023,7,84,No,6,9,74
9/5/2023,4,99,Yes,8,5,87
9/24/2023,6,94,Yes,5,1,77
11/21/2023,4,89,Yes,7,1,72
8/31/2023,3,68,No,7,2,51
1/10/2023,7,51,Yes,6,7,40
10/28/2023,8,78,Yes,5,7,72
2/22/2023,4,86,No,8,9,68
2/26/2023,2,42,No,7,9,22
11/24/2023,3,87,No,8,9,67
10/26/2023,1,40,Yes,8,9,18
12/26/2023,8,66,Yes,7,7,64
4/26/2023,3,87,Yes,7,6,66
11/30/2023,7,63,No,6,1,50
7/20/2023,5,83,No,5,0,68
3/26/2023,5,58,Yes,4,5,44
11/27/2023,7,98,Yes,5,7,90
9/21/2023,9,47,No,4,0,41
10/31/2023,5,94,No,7,2,83
4/22/2023,1,83,No,8,0,57
4/25/2023,1,86,Yes,5,9,64
1/5/2023,2,41,No,8,8,18
9/19/2023,6,69,No,5,6,62
7/14/2023,9,69,No,9,7,66
9/16/2023,8,88,No,5,8,85
2/15/2023,5,78,Yes,8,2,62
6/26/2023,1,84,No,9,9,62
7/29/2023,7,71,Yes,6,1,62
12/8/2023,5,40,Yes,7,5,26
9/18/2023,6,77,No,6,4,66
5/14/2023,7,52,No,6,3,43
5/16/2023,3,50,Yes,5,5,30
4/30/2023,3,49,No,7,5,25
1/21/2023,5,87,Yes,9,2,77
8/13/2023,6,98,No,5,1,88
7/3/2023,9,65,Yes,4,8,62
5/22/2023,5,95,Yes,5,7,82
10/4/2023,1,94,Yes,9,3,73
2/23/2023,4,59,No,8,5,44
9/14/2023,5,56,Yes,5,2,40
12/24/2023,5,56,Yes,4,7,39
8/18/2023,7,43,No,5,2,34
4/12/2023,4,44,No,9,1,27
10/30/2023,1,99,Yes,4,6,73
6/10/2023,5,62,Yes,7,2,46
3/23/2023,7,85,No,9,8,78
5/23/2023,6,91,Yes,5,2,80
1/2/2023,5,49,No,4,7,33
9/14/2023,4,85,No,9,1,68
5/17/2023,2,67,No,7,8,45
6/4/2023,4,72,Yes,8,0,56
6/12/2023,3,82,No,6,2,58
11/8/2023,1,65,Yes,4,1,37
7/16/2023,8,94,Yes,8,6,88
12/22/2023,5,89,No,7,4,75
3/31/2023,4,87,No,8,7,70
7/11/2023,8,68,No,5,1,62
8/22/2023,7,66,No,6,7,57
5/14/2023,2,57,Yes,4,6,32
6/17/2023,1,79,Yes,9,4,53
6/14/2023,4,99,No,7,1,82
12/6/2023,8,49,Yes,6,9,41
4/1/2023,2,97,No,7,6,75
11/9/2023,3,81,Yes,8,9,63
4/13/2023,1,44,Yes,7,3,17
9/21/2023,1,49,Yes,7,3,24
10/11/2023,3,89,No,8,7,69
2/14/2023,5,60,Yes,8,5,47
11/30/2023,3,63,Yes,6,8,43
3/8/2023,1,77,Yes,4,1,48
3/6/2023,1,42,Yes,8,4,17
3/2/2023,8,79,No,6,5,75
5/19/2023,2,70,Yes,7,7,54
1/19/2023,3,80,No,7,3,59
8/21/2023,2,76,No,9,6,56
5/27/2023,3,41,Yes,5,6,20
2/11/2023,7,41,Yes,8,3,34
9/25/2023,1,78,No,6,0,54
6/10/2023,8,88,No,9,2,83
1/20/2023,2,81,No,6,1,59
7/22/2023,3,83,Yes,4,2,63
3/30/2023,9,73,Yes,9,4,72
1/16/2023,7,81,No,6,0,70
4/4/2023,4,59,No,8,4,41
5/23/2023,5,72,No,6,1,54
2/10/2023,2,43,Yes,5,3,21
10/26/2023,8,84,Yes,7,5,83
4/18/2023,4,83,No,7,8,64
8/5/2023,9,50,Yes,9,9,51
3/12/2023,5,81,No,6,5,66
12/21/2023,9,86,Yes,6,9,83
11/15/2023,4,44,No,6,1,26
2/4/2023,5,64,Yes,6,7,49
5/20/2023,9,88,Yes,5,4,85
1/2/2023,8,99,Yes,8,8,95
6/28/2023,3,76,Yes,5,9,56
6/28/2023,1,73,Yes,5,8,50
9/25/2023,3,48,Yes,5,3,23
2/5/2023,4,45,Yes,7,0,26
2/21/2023,2,57,No,5,8,30
8/6/2023,1,53,No,6,8,28
10/19/2023,7,58,No,5,7,48
9/26/2023,8,53,Yes,6,4,46
10/23/2023,7,79,Yes,9,4,73
7/18/2023,5,56,Yes,8,9,45
11/25/2023,1,99,No,7,5,76
5/12/2023,7,74,No,8,0,71
2/4/2023,7,68,No,9,8,60
9/28/2023,9,81,No,8,4,77
2/17/2023,3,56,No,7,6,36
12/12/2023,9,98,No,6,7,96
6/24/2023,1,82,Yes,9,4,62
3/30/2023,1,47,No,9,2,22
4/20/2023,4,40,Yes,6,5,21
12/19/2023,9,84,No,6,6,79
6/8/2023,6,92,No,7,3,82
7/9/2023,3,75,Yes,5,8,55
5/27/2023,1,46,Yes,4,3,22
5/19/2023,4,85,Yes,5,9,70
10/1/2023,9,44,No,5,1,37
9/20/2023,3,63,No,8,8,42
7/24/2023,9,67,Yes,4,3,64
11/8/2023,7,82,No,6,3,72
2/10/2023,4,56,Yes,5,9,42
4/5/2023,3,76,No,7,0,56
6/13/2023,5,59,No,5,1,43
10/22/2023,5,42,No,6,2,24
6/23/2023,3,76,Yes,5,6,55
6/28/2023,9,65,No,9,8,64
10/19/2023,4,54,Yes,8,4,34
6/14/2023,5,90,Yes,8,3,78
4/21/2023,4,87,Yes,5,1,71
8/7/2023,5,47,Yes,8,6,33
7/18/2023,7,52,Yes,7,5,46
4/8/2023,9,87,Yes,4,6,86
8/11/2023,7,42,Yes,5,7,34
12/23/2023,5,40,Yes,7,8,26
6/27/2023,7,48,Yes,9,9,44
10/8/2023,5,70,No,7,4,53
3/30/2023,3,80,Yes,7,4,61
3/26/2023,7,93,No,9,3,84
12/8/2023,2,65,Yes,6,2,40
9/25/2023,9,56,No,5,6,53
9/9/2023,1,95,No,5,4,67
10/6/2023,6,73,No,5,6,58
1/1/2023,7,48,No,4,1,41
7/22/2023,8,95,No,7,8,89
8/12/2023,9,90,No,5,8,85
4/21/2023,2,52,Yes,8,8,33
3/5/2023,2,44,Yes,6,4,20
1/7/2023,5,80,Yes,9,9,66
8/29/2023,5,52,Yes,9,8,38
10/10/2023,6,40,Yes,4,0,25
10/27/2023,3,64,Yes,9,1,43
2/13/2023,8,86,No,6,9,79
11/20/2023,1,43,Yes,7,4,16
12/5/2023,6,75,No,9,4,67
12/7/2023,4,91,No,9,5,80
4/23/2023,1,49,No,8,7,26
9/24/2023,7,67,No,7,0,57
1/3/2023,9,96,No,5,9,91
11/23/2023,4,45,No,6,8,29
1/19/2023,4,66,Yes,9,3,48
10/25/2023,6,95,No,8,7,84
11/27/2023,3,51,No,6,4,33
3/25/2023,6,91,Yes,4,0,82
12/7/2023,7,87,Yes,8,8,81
10/31/2023,3,42,Yes,4,7,24
11/17/2023,7,85,Yes,9,4,81
7/4/2023,3,72,Yes,8,3,54
5/14/2023,2,49,Yes,5,7,25
9/13/2023,4,70,Yes,6,8,53
11/30/2023,8,54,No,6,6,48
12/18/2023,9,46,Yes,7,3,40
2/6/2023,7,75,No,8,6,66
5/29/2023,1,53,Yes,8,5,29
7/13/2023,3,95,Yes,4,2,73
10/28/2023,9,87,No,8,9,89
3/7/2023,1,53,Yes,6,2,27
1/21/2023,9,42,Yes,8,0,40
8/29/2023,8,88,Yes,7,4,83
3/24/2023,1,92,Yes,7,7,69
5/20/2023,6,85,Yes,6,5,72
4/20/2023,5,89,Yes,6,7,77
5/17/2023,6,42,Yes,6,6,32
3/14/2023,5,61,No,8,1,49
4/7/2023,6,58,Yes,8,7,44
10/8/2023,5,74,No,5,3,57
9/13/2023,5,51,No,9,4,34
2/12/2023,4,93,No,9,7,76
11/14/2023,3,44,No,4,4,22
11/7/2023,3,49,No,8,4,30
4/30/2023,4,80,No,5,5,67
7/20/2023,9,72,No,5,6,71
12/20/2023,2,52,Yes,7,8,29
12/9/2023,9,74,Yes,8,6,74
7/11/2023,1,90,Yes,5,5,67
7/2/2023,1,71,No,7,9,46
4/1/2023,5,50,Yes,4,3,34
2/8/2023,6,87,No,7,9,76
5/9/2023,6,77,No,4,1,64
9/10/2023,3,63,Yes,9,8,46
8/24/2023,7,74,No,9,9,68
11/9/2023,9,58,No,6,4,58
9/4/2023,8,45,Yes,6,4,41
8/7/2023,6,79,No,7,2,64
12/4/2023,8,93,Yes,6,2,84
8/4/2023,5,84,No,8,0,70
10/3/2023,8,83,No,7,4,77
12/4/2023,4,81,Yes,5,2,60
7/10/2023,8,74,Yes,8,1,65
9/7/2023,2,43,Yes,7,8,21
11/12/2023,5,72,No,9,9,60
8/7/2023,9,52,No,4,5,48
11/7/2023,4,95,Yes,6,2,77
10/5/2023,6,75,Yes,6,6,63
9/28/2023,1,93,Yes,6,8,68
4/25/2023,9,82,No,7,8,81
8/2/2023,1,58,No,8,0,29
3/6/2023,5,82,Yes,4,1,66
12/23/2023,4,51,Yes,6,7,36
9/9/2023,3,50,Yes,8,0,29
4/14/2023,6,45,No,5,2,32
10/25/2023,2,51,Yes,9,6,31
6/5/2023,3,66,Yes,5,7,45
9/29/2023,5,80,Yes,4,4,65
10/18/2023,9,64,No,6,1,57
10/9/2023,2,81,No,5,2,58
12/24/2023,8,42,Yes,9,8,38
1/15/2023,2,42,No,8,9,22
9/5/2023,5,59,Yes,8,6,48
2/2/2023,7,67,Yes,5,0,59
9/1/2023,8,62,Yes,6,2,58
5/2/2023,1,87,Yes,9,8,62
12/23/2023,6,42,No,4,6,30
10/17/2023,1,81,Yes,6,1,56
9/19/2023,2,63,Yes,7,5,40
11/24/2023,1,82,No,5,8,59
4/2/2023,5,79,Yes,7,3,65
12/15/2023,9,45,No,5,9,43
9/18/2023,6,59,Yes,4,1,48
11/20/2023,1,50,Yes,6,2,24
10/8/2023,1,71,Yes,9,6,51
6/20/2023,2,99,Yes,6,3,81
5/23/2023,9,66,No,5,6,62
11/19/2023,3,60,Yes,8,4,43
9/28/2023,1,83,No,7,7,63
3/10/2023,5,87,No,9,7,73
8/4/2023,7,89,No,9,4,76
6/30/2023,6,52,Yes,6,6,43
2/3/2023,1,61,No,6,5,34
2/19/2023,5,74,No,5,7,57
1/5/2023,5,86,No,8,8,72
1/18/2023,6,61,Yes,7,4,47
11/2/2023,3,67,Yes,8,6,52
10/3/2023,5,60,No,9,0,49
9/25/2023,7,85,No,8,7,77
4/14/2023,5,57,Yes,5,2,41
10/23/2023,5,70,No,8,0,56
4/25/2023,5,99,No,7,5,89
7/10/2023,3,85,No,9,7,65
6/19/2023,1,76,Yes,4,2,49
7/6/2023,5,60,No,9,0,48
8/17/2023,9,53,No,4,2,47
11/16/2023,1,64,Yes,7,4,37
10/7/2023,3,66,No,9,7,48
3/20/2023,4,79,Yes,9,8,61
7/4/2023,1,99,Yes,9,8,77
1/21/2023,1,99,Yes,9,3,75
5/24/2023,8,62,No,5,7,57
7/30/2023,2,70,No,6,4,45
5/5/2023,8,86,No,9,2,82
1/16/2023,7,99,No,5,4,90
12/2/2023,2,68,No,7,1,42
9/22/2023,6,86,No,9,5,74
4/22/2023,6,69,No,8,0,60
12/28/2023,3,90,No,9,5,73
12/8/2023,2,65,Yes,9,4,40
9/7/2023,1,59,No,4,8,32
12/6/2023,6,77,No,8,6,67
10/12/2023,5,58,Yes,9,5,46
11/29/2023,9,66,No,9,6,65
12/14/2023,1,64,Yes,9,9,42
7/8/2023,7,79,No,5,4,69
3/15/2023,5,77,No,7,0,62
9/24/2023,5,91,Yes,4,8,75
2/11/2023,2,62,Yes,9,4,40
10/18/2023,3,68,No,7,3,43
4/27/2023,7,54,Yes,4,5,42
1/15/2023,6,98,No,4,4,84
6/17/2023,2,42,No,4,0,15
11/30/2023,6,49,No,9,1,39
6/6/2023,2,54,No,5,3,26
8/13/2023,2,95,No,9,7,73
1/21/2023,2,55,No,9,4,34
9/7/2023,3,56,Yes,7,6,34
5/19/2023,2,58,Yes,6,1,37
6/4/2023,4,50,Yes,6,7,34
10/3/2023,9,87,No,6,4,85
1/7/2023,6,44,Yes,7,3,31
1/14/2023,1,44,No,8,8,18
10/3/2023,8,97,Yes,7,5,92
8/22/2023,7,53,No,4,3,44
6/12/2023,3,89,No,9,7,72
9/14/2023,1,65,No,8,2,40
4/25/2023,5,47,No,4,9,31
1/23/2023,4,44,No,9,1,25
7/18/2023,8,46,Yes,9,6,44
2/10/2023,1,55,No,4,3,27
9/27/2023,1,94,Yes,7,3,66
12/24/2023,4,53,No,6,9,34
3/11/2023,8,76,No,8,8,70
10/27/2023,5,95,No,9,1,81
8/14/2023,2,80,Yes,5,0,56
8/1/2023,6,43,No,9,6,30
6/30/2023,5,75,Yes,6,7,60
6/4/2023,2,87,No,9,2,64
10/28/2023,3,95,Yes,5,1,74
4/15/2023,9,56,Yes,7,3,52
11/17/2023,7,86,Yes,9,1,84
8/2/2023,7,75,No,8,1,66
10/24/2023,6,45,No,7,4,32
4/8/2023,8,55,Yes,5,9,47
10/26/2023,4,68,No,4,4,51
7/30/2023,8,75,No,9,7,67
5/3/2023,4,77,No,7,8,57
9/30/2023,8,76,Yes,9,1,71
3/10/2023,9,87,Yes,8,0,86
6/21/2023,3,96,No,9,2,77
1/14/2023,3,87,Yes,7,5,72
4/12/2023,2,49,No,6,4,24
1/2/2023,3,80,No,7,7,60
1/7/2023,3,75,Yes,5,7,55
3/20/2023,5,68,Yes,7,1,54
9/22/2023,5,53,No,8,8,39
7/6/2023,2,43,No,7,3,19
3/22/2023,6,83,No,7,0,68
9/21/2023,5,95,Yes,8,1,83
4/24/2023,6,81,Yes,7,5,72
11/28/2023,1,75,No,8,4,49
1/27/2023,5,89,No,5,6,74
3/2/2023,9,84,Yes,8,8,86
7/12/2023,2,52,No,5,5,26
3/27/2023,1,85,Yes,5,5,60
7/21/2023,9,57,Yes,8,1,54
5/15/2023,9,72,No,7,6,73
10/24/2023,9,60,No,9,1,61
5/5/2023,6,55,Yes,6,6,45
10/14/2023,8,54,No,9,7,57
5/25/2023,1,93,Yes,8,0,68
12/28/2023,4,96,Yes,7,8,72
9/18/2023,1,44,Yes,5,7,17
4/9/2023,8,45,No,4,8,37
7/20/2023,1,77,No,6,4,54
9/23/2023,3,42,No,9,3,22
8/1/2023,4,87,Yes,7,0,73
12/25/2023,8,51,Yes,6,8,47
5/6/2023,6,75,Yes,4,3,63
